City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,christchurch,NZ,76.32,few clouds,-43.5333,172.6333,The George
430,guadalupe y calvo,MX,57.76,overcast clouds,26.1,-106.9667,Hotel Pizarro
431,saldanha,ZA,66.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
433,marrakesh,MA,55.47,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
434,coihaique,CL,67.95,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
436,comodoro rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
437,ilo,PE,71.71,broken clouds,-17.6394,-71.3375,Torreblanca Hotel
438,tilhar,IN,55.96,scattered clouds,27.9833,79.7333,रस्तोगी धर्मशाला
440,booue,GA,76.48,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
441,ciudad del maiz,MX,86.74,clear sky,22.4,-99.6,Hotel Casona del General
442,talcahuano,CL,65.88,broken clouds,-36.7167,-73.1167,departamento comodo
445,nicoya,CR,87.35,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
446,ketchikan,US,42.26,moderate rain,55.3422,-131.6461,Snow's Cove Lodge
447,valdivia,CL,69.89,broken clouds,-39.8142,-73.2459,Hostal Entre Rios
448,lardos,GR,53.94,overcast clouds,36.0942,28.0157,Lindos Princess Beach Hotel
449,capinota,BO,76.41,overcast clouds,-17.7167,-66.2333,Urbanización Villa Real
450,kaduqli,SD,81.16,overcast clouds,11.0167,29.7167,فندق الله جابو
453,samana,DO,82.62,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
454,hobyo,SO,76.96,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
455,laguna,US,66.04,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
456,baculin,PH,76.1,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
458,mana,GF,75.85,broken clouds,5.6592,-53.7767,LE SAMANA
460,cape canaveral,US,78.26,scattered clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
461,altagracia de orituco,VE,75.96,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
464,soc trang,VN,75.16,few clouds,9.6033,105.98,Phu Quy Hotel
465,vila velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
